date,P_local_mm,P_IMERG_mm,Caudal_m3s,Q_lamina_mm,Temp_C
1983-11-01,0.2217619003,,247.0,132.3037366655046,
1983-12-01,0.034164370141,,296.4516129032258,164.0852010736825,
1984-01-01,12.55066360904,,240.4516129032258,133.08934589806628,
1984-02-01,0.42049294076625,,185.48275862068965,96.04072868066793,
1984-03-01,36.51365015554,,107.11935483870968,59.29028587653726,
1984-04-01,43.41481774498,,67.74333333333333,36.28621916670782,
1984-05-01,205.16537410884,,57.02258064516129,31.56185091816633,
1984-06-01,157.23603819862595,,44.32,23.73968262759176,
1984-07-01,508.24684272,,63.4225806451613,35.10423436680818,
1984-08-01,75.0857579336,,60.222580645161294,33.33304264248726,
1984-09-01,150.7429772194,,71.82,38.46985573812364,
1984-10-01,61.82529627142,,145.5774193548387,80.57672512790225,
1984-11-01,35.86848934,,190.3,101.93279792488067,
1984-12-01,0.16859279341,,313.2903225806452,173.40538333270996,
1985-01-01,17.86165721131,,289.741935483871,160.37141197429992,
1985-02-01,0.754846644,,180.95833333333331,90.46706923904648,
1985-03-01,15.23208169036,,146.09677419354838,80.8641866879987,
1985-04-01,21.530864289473,,87.39333333333335,46.81159740750608,
1985-05-01,74.98482590248,,76.87741935483871,42.55145279638739,
1985-06-01,58.464988560954,,65.76666666666667,35.22743217827808,
1985-07-01,127.26608239173062,,52.016129032258064,28.790792897857784,
1985-08-01,10.04512668491,,46.04516129032258,25.485877694512997,
1985-09-01,101.042349076,,59.85333333333333,32.05999859063159,
1985-10-01,108.956613016,,81.28387096774195,44.99041236838577,
1985-11-01,19.8408154113,,147.52666666666667,79.0215759425358,
1985-12-01,1.88365133362,,173.80645161290323,96.20142147823736,
1986-01-01,2.54676642351,,216.8709677419355,120.03751978437076,
1986-02-01,16.0732385608,,183.53571428571428,91.75558741214957,
1986-03-01,1.0801883999800002,,141.2258064516129,78.16811863988922,
1986-04-01,71.999768553755,,111.4,59.67059216411828,
1986-05-01,316.425456687,,97.23548387096774,53.81958885706215,
1986-06-01,466.236335104,,115.0,61.598905734951536,
1986-07-01,12.93949343715,,88.63571428571429,49.05963863191599,
1986-08-01,181.11899914474,,66.7290322580645,36.93434678357123,
1986-09-01,31.69225918869,,83.66666666666667,44.81543576658793,
1986-10-01,49.908096237355,,122.6774193548387,67.90163435073063,
1986-11-01,23.621853362747,,159.86666666666667,85.63140634922539,
1986-12-01,2.8373756992819,,309.51612903225805,171.31637696430724,
1987-01-01,1.35214237422,,351.4516129032258,194.5275588354484,
1987-02-01,13.653453064395,,271.55555555555554,135.75962374409673,
1987-03-01,22.86335490447,,162.5185185185185,89.95357970278032,
1987-04-01,25.9201389739438,,96.328,51.59738601422966,
1987-05-01,96.0985334163356,,68.95161290322581,38.16453942274171,
1987-06-01,90.551473914,,69.14,37.03433341317,
1987-07-01,609.4310463623,,127.42142857142856,70.52743118339505,
1987-08-01,408.4253254423,,130.33870967741936,72.14213873103527,
1987-09-01,78.26216546337771,,122.36333333333332,65.54302117751698,
1987-10-01,70.954331739,,155.4193548387097,86.02421096550623,
1987-11-01,0.906768747843,,226.33333333333331,121.23378838849882,
1987-12-01,15.74099621425,,,,
1988-01-01,0.897739011115,,,,
1988-02-01,2.8999489270872,,,,
1988-03-01,6.039597342147,,,,
1988-04-01,14.8342985933,,,,
1988-05-01,19.5806986893,,63.16,34.95889665878427,
1988-06-01,29.95201166901,,59.556666666666665,31.901091268590697,
